country,sex,age,suicide_prob
albania,female,2,0.0008833190401684
albania,female,3,0.0005815398697001
albania,female,4,0.0004761169966897
albania,female,1,6.681019606386047e-05
albania,female,5,0.0003446071626353
albania,female,6,0.0008375140468395
albania,male,2,0.0011023511062596
albania,male,3,0.0012994520777618
albania,male,4,0.0011260851030235
albania,male,1,0.0001241292418745
albania,male,5,0.0010168888203972
albania,male,6,0.0013887040250573
antigua and barbuda,female,2,0.0
antigua and barbuda,female,3,0.0
antigua and barbuda,female,4,0.0
antigua and barbuda,female,1,0.0
antigua and barbuda,female,5,0.0001561767921286
antigua and barbuda,female,6,0.0
antigua and barbuda,male,2,0.0
antigua and barbuda,male,3,0.0001499700059988
antigua and barbuda,male,4,0.0006341298300209
antigua and barbuda,male,1,0.0
antigua and barbuda,male,5,0.0008511228126777
antigua and barbuda,male,6,0.0
argentina,female,2,0.0012938094035436
argentina,female,3,0.0009732711250749
argentina,female,4,0.0012423062827376
argentina,female,1,0.0001765898055255
argentina,female,5,0.0016542737740397
argentina,female,6,0.0017202160560253
argentina,male,2,0.0041919417905005
argentina,male,3,0.0038561494436169
argentina,male,4,0.0040473849004912
argentina,male,1,0.0002466666437813
argentina,male,5,0.0065507654913777
argentina,male,6,0.0129928415303415
armenia,female,2,0.0001352286253208
armenia,female,3,0.0001862816561948
armenia,female,4,0.0003274690565615
armenia,female,1,3.1007764491835474e-05
armenia,female,5,0.0006688761931297
armenia,female,6,0.0010452007672685
armenia,male,2,0.0004892471370349
armenia,male,3,0.0009018065779508
armenia,male,4,0.0013065344688425
armenia,male,1,6.32682830077611e-05
armenia,male,5,0.0018055775936817
armenia,male,6,0.002802108052751
aruba,female,2,0.0002965106760764
aruba,female,3,0.0003024179578463
aruba,female,4,0.0004026815213147
aruba,female,1,0.0
aruba,female,5,0.0004276889417436
aruba,female,6,0.0013342228152101
aruba,male,2,0.0008412664028574
aruba,male,3,0.0033619070168728
aruba,male,4,0.0023065411707115
aruba,male,1,0.0
aruba,male,5,0.002550855165934
aruba,male,6,0.0041411228210965
australia,female,2,0.0015810928010576
australia,female,3,0.0019604502367022
australia,female,4,0.002234190335835
australia,female,1,8.874959148101908e-05
australia,female,5,0.0018773228097229
australia,female,6,0.0018243335010644
australia,male,2,0.0062521801517292
australia,male,3,0.0083262462062794
australia,male,4,0.0075901070695782
australia,male,1,0.0001482917836789
australia,male,5,0.0062185634202632
australia,male,6,0.0086730594358808
austria,female,2,0.0015460338814999
austria,female,3,0.0021051958312123
austria,female,4,0.0036409722221164
austria,female,1,0.0001045211205977
austria,female,5,0.0048796069712607
austria,female,6,0.007439698219923
austria,male,2,0.0065254027925554
austria,male,3,0.0081680835072149
austria,male,4,0.010941157779759
austria,male,1,0.0002077875863005
austria,male,5,0.014162022717221
austria,male,6,0.0310409602241984
azerbaijan,female,2,0.0001060209572382
azerbaijan,female,3,0.0001248257294784
azerbaijan,female,4,0.0001360998043126
azerbaijan,female,1,1.4496795465441184e-05
azerbaijan,female,5,0.0001999847767816
azerbaijan,female,6,0.0004026548461997
azerbaijan,male,2,0.0003099436044681
azerbaijan,male,3,0.0003961819440908
azerbaijan,male,4,0.000587837020635
azerbaijan,male,1,5.56138786341914e-05
